client_id,variation,visit_seq,step_rank,next_rank,step_diff,transition_type
21522,Test,9,3,2,-1,backward
21522,Test,10,2,1,-1,backward
21522,Test,11,1,1,0,same_step
21522,Test,12,1,1,0,same_step
21522,Test,13,1,,,end
21522,Test,1,1,2,1,forward
21522,Test,2,2,1,-1,backward
21522,Test,3,1,,,end
21596,Test,1,1,2,1,forward
21596,Test,2,2,1,-1,backward
21596,Test,3,1,2,1,forward
21596,Test,4,2,3,1,forward
21596,Test,5,3,4,1,forward
21596,Test,6,4,5,1,forward
21596,Test,7,5,,,end
21719,Control,1,1,2,1,forward
21719,Control,2,2,3,1,forward
21719,Control,3,3,4,1,forward
21719,Control,4,4,,,end
21940,Control,1,1,1,0,same_step
21940,Control,2,1,2,1,forward
21940,Control,3,2,3,1,forward
21940,Control,4,3,4,1,forward
21940,Control,5,4,5,1,forward
21940,Control,6,5,,,end
21940,Control,1,1,1,0,same_step
21940,Control,2,1,,,end
21940,Control,1,1,2,1,forward
21940,Control,2,2,3,1,forward
21940,Control,3,3,,,end
21970,Control,1,4,3,-1,backward
21970,Control,2,3,4,1,forward
21970,Control,3,4,5,1,forward
21970,Control,4,5,1,-4,backward
21970,Control,5,1,2,1,forward
21970,Control,6,2,,,end
21970,Control,1,1,2,1,forward
21970,Control,2,2,3,1,forward
21970,Control,3,3,,,end
22007,Test,1,1,2,1,forward
22007,Test,2,2,3,1,forward
22007,Test,3,3,4,1,forward
22007,Test,4,4,5,1,forward
22007,Test,5,5,5,0,same_step
22007,Test,6,5,,,end
22793,Test,1,1,2,1,forward
22793,Test,2,2,3,1,forward
22793,Test,3,3,,,end
22885,Control,1,1,2,1,forward
22885,Control,2,2,3,1,forward
22885,Control,3,3,2,-1,backward
22885,Control,4,2,3,1,forward
22885,Control,5,3,4,1,forward
22885,Control,6,4,3,-1,backward
22885,Control,7,3,4,1,forward
22885,Control,8,4,,,end
22885,Control,1,1,2,1,forward
22885,Control,2,2,3,1,forward
22885,Control,3,3,2,-1,backward
22885,Control,4,2,2,0,same_step
22885,Control,5,2,1,-1,backward
22885,Control,6,1,1,0,same_step
22885,Control,7,1,2,1,forward
22885,Control,8,2,3,1,forward
22885,Control,9,3,,,end
22885,Control,1,1,2,1,forward
22885,Control,2,2,3,1,forward
22885,Control,3,3,4,1,forward
22885,Control,4,4,4,0,same_step
22885,Control,5,4,4,0,same_step
22885,Control,6,4,,,end
23276,Control,1,1,2,1,forward
23276,Control,2,2,3,1,forward
23276,Control,3,3,4,1,forward
23276,Control,4,4,4,0,same_step
23276,Control,5,4,4,0,same_step
23276,Control,6,4,5,1,forward
23276,Control,7,5,,,end
23864,Control,1,1,2,1,forward
23864,Control,2,2,3,1,forward
23864,Control,3,3,4,1,forward
23864,Control,4,4,5,1,forward
23864,Control,5,5,,,end
23914,Test,1,1,2,1,forward
23914,Test,2,2,3,1,forward
23914,Test,3,3,4,1,forward
23914,Test,4,4,5,1,forward
23914,Test,5,5,,,end
